# candidate-c-expressive  (CANDIDATE)  ok=True  input_hash=b5e62e028117d593
  note: CANDIDATE.  Not a finished/selected theme; no winner is ranked here (DESIGN.md section 1).
  stability: ok=True  max_hue_drift=5.67deg (cap 12)  cyclic_seq_preserved=True  normC_inversions=0  salience_reversals=0
  issues: 391 (aesthetic/distance/legibility misses; informational)

## variant day
role             paint   winning       hex           L      C     h  reqC   capC   realC  capL   gamL   frac
debug_current    surface perceptual_step #352a11  0.290  0.042    86  0.0419 0.0419 0.0419 0.0000 0.0000 1.00
decorator        ink     apca_centre   #cfc1a5  0.815  0.041    85  0.0408 0.0408 0.0408 0.0000 0.0000 1.00
deprecated       ink     apca_centre   #999999  0.681  0.000    69  0.0000 0.0000 0.0000 0.0000 0.0000 1.00
diff_added       surface perceptual_step #23271e  0.265  0.017   125  0.0173 0.0173 0.0173 0.0000 0.0000 1.00
diff_changed     surface perceptual_step #28251e  0.265  0.014    85  0.0141 0.0141 0.0141 0.0000 0.0000 1.00
diff_removed     surface perceptual_step #312022  0.265  0.028    10  0.0275 0.0275 0.0275 0.0000 0.0000 1.00
docstring        ink     apca_centre   #d2bfae  0.816  0.032    65  0.0323 0.0323 0.0323 0.0000 0.0000 1.00
error            ink     apca_centre   #fbcfd4  0.893  0.051    10  0.0508 0.0508 0.0508 0.0000 0.0000 1.00
fg               ink     apca_centre   #c6c2bd  0.815  0.009    69  0.0087 0.0087 0.0087 0.0000 0.0000 1.00
fg_muted         ink     apca_centre   #706c69  0.533  0.007    69  0.0069 0.0069 0.0069 0.0000 0.0000 1.00
fg_secondary     ink     apca_centre   #9c9893  0.680  0.009    69  0.0088 0.0088 0.0088 0.0000 0.0000 1.00
focus            border  apca_centre   #a7e3f4  0.880  0.065   217  0.0647 0.0647 0.0647 0.0000 0.0000 1.00
function         ink     apca_centre   #9de5f7  0.880  0.075   216  0.0753 0.0753 0.0753 0.0000 0.0000 1.00
info             ink     apca_centre   #6ed0e8  0.806  0.098   216  0.0978 0.0978 0.0978 0.0000 0.0000 1.00
keyword          ink     apca_centre   #e5b1ec  0.825  0.099   322  0.0991 0.0991 0.0991 0.0000 0.0000 1.00
line_number      ink     apca_centre   #6d6d6d  0.533  0.000    69  0.0000 0.0000 0.0000 0.0000 0.0000 1.00
line_number_active ink     apca_centre   #c3c3c3  0.816  0.000    69  0.0000 0.0000 0.0000 0.0000 0.0000 1.00
namespace        ink     apca_centre   #a9c9c1  0.810  0.036   180  0.0362 0.0362 0.0362 0.0000 0.0000 1.00
number           ink     apca_centre   #e3be6c  0.816  0.109    85  0.1094 0.1094 0.1094 0.0000 0.0000 1.00
