# candidate-b-balanced  (CANDIDATE)  ok=True  input_hash=18521825cc8cc25f
  note: CANDIDATE.  Not a finished/selected theme; no winner is ranked here (DESIGN.md section 1).
  stability: ok=True  max_hue_drift=5.7deg (cap 12)  cyclic_seq_preserved=True  normC_inversions=0  salience_reversals=0
  issues: 426 (aesthetic/distance/legibility misses; informational)

## variant day
role             paint   winning       hex           L      C     h  reqC   capC   realC  capL   gamL   frac
debug_current    surface perceptual_step #342919  0.290  0.031    78  0.0313 0.0313 0.0313 0.0000 0.0000 1.00
decorator        ink     apca_centre   #cfc1ab  0.816  0.034    77  0.0341 0.0341 0.0341 0.0000 0.0000 1.00
deprecated       ink     apca_centre   #999999  0.681  0.000    70  0.0000 0.0000 0.0000 0.0000 0.0000 1.00
diff_added       surface perceptual_step #22271f  0.265  0.016   133  0.0159 0.0159 0.0159 0.0000 0.0000 1.00
diff_changed     surface perceptual_step #28251f  0.265  0.012    78  0.0118 0.0118 0.0118 0.0000 0.0000 1.00
diff_removed     surface perceptual_step #2f2121  0.265  0.023    18  0.0226 0.0226 0.0226 0.0000 0.0000 1.00
docstring        ink     apca_centre   #cfc0b0  0.815  0.028    69  0.0285 0.0280 0.0280 0.0005 0.0000 0.98
error            ink     apca_centre   #f5d2d1  0.892  0.040    18  0.0402 0.0402 0.0402 0.0000 0.0000 1.00
fg               ink     apca_centre   #c6c2bd  0.815  0.008    70  0.0076 0.0076 0.0076 0.0000 0.0000 1.00
fg_muted         ink     apca_centre   #6f6d69  0.535  0.006    70  0.0059 0.0059 0.0059 0.0000 0.0000 1.00
fg_secondary     ink     apca_centre   #9b9894  0.680  0.007    70  0.0075 0.0075 0.0075 0.0000 0.0000 1.00
focus            border  apca_centre   #cbdced  0.886  0.030   249  0.0302 0.0302 0.0302 0.0000 0.0000 1.00
function         ink     apca_centre   #cbdcec  0.886  0.029   248  0.0287 0.0287 0.0287 0.0000 0.0000 1.00
info             ink     apca_centre   #aac6e1  0.814  0.049   248  0.0492 0.0492 0.0492 0.0000 0.0000 1.00
keyword          ink     apca_centre   #d0bbe1  0.821  0.058   310  0.0581 0.0581 0.0581 0.0000 0.0000 1.00
line_number      ink     apca_centre   #6d6d6d  0.533  0.000    70  0.0000 0.0000 0.0000 0.0000 0.0000 1.00
line_number_active ink     apca_centre   #c3c3c3  0.816  0.000    70  0.0000 0.0000 0.0000 0.0000 0.0000 1.00
namespace        ink     apca_centre   #adc8c6  0.811  0.028   192  0.0282 0.0282 0.0282 0.0000 0.0000 1.00
number           ink     apca_centre   #e1bd86  0.816  0.082    77  0.0816 0.0816 0.0816 0.0000 0.0000 1.00
operator         ink     apca_centre   #c3c3c3  0.816  0.000    70  0.0000 0.0000 0.0000 0.0000 0.0000 1.00
parameter        ink     apca_centre   #c6c2bd  0.815  0.008    70  0.0076 0.0076 0.0076 0.0000 0.0000 1.00
property         ink     apca_centre   #c0c3c5  0.814  0.005   247  0.0050 0.0050 0.0050 0.0000 0.0000 1.00
punctuation      ink     apca_centre   #999999  0.681  0.000    70  0.0000 0.0000 0.0000 0.0000 0.0000 1.00
search_match     surface perceptual_step #34291a  0.290  0.031    78  0.0308 0.0308 0.0308 0.0000 0.0000 1.00
search_match_current surface perceptual_step #3e2e15  0.315  0.046    78  0.0457 0.0457 0.0457 0.0000 0.0000 1.00
selection        surface perceptual_step #252c33  0.290  0.017   248  0.0165 0.0165 0.0165 0.0000 0.0000 1.00
string           ink     apca_centre   #a5cf85  0.805  0.108   132  0.1080 0.1080 0.1080 0.0000 0.0000 1.00
success          ink     apca_centre   #a2d081  0.805  0.116   133  0.1157 0.1157 0.1157 0.0000 0.0000 1.00
tag              ink     apca_centre   #b8c4cf  0.814  0.020   248  0.0200 0.0200 0.0200 0.0000 0.0000 1.00
type             ink     apca_centre   #8cceca  0.805  0.067   192  0.0669 0.0669 0.0669 0.0000 0.0000 1.00
ui_inactive      border  apca_centre   #6d6d6d  0.533  0.000    70  0.0000 0.0000 0.0000 0.0000 0.0000 1.00
warning          ink     apca_centre   #f4d6a7  0.889  0.069    78  0.0692 0.0692 0.0692 0.0000 0.0000 1.00

## variant night
role             paint   winning       hex           L      C     h  reqC   capC   realC  capL   gamL   frac
active_line      surface perceptual_step #1f1e1d  0.235  0.002    70  0.0019 0.0019 0.0019 0.0000 0.0000 1.00
bg               canvas  authored      #191714  0.205  0.007    70  0.0070 0.0070 0.0070 0.0000 0.0000 1.00
bg_elevated      surface authored      #211e1b  0.238  0.008    70  0.0080 0.0080 0.0080 0.0000 0.0000 1.00
bg_overlay       surface authored      #282521  0.265  0.009    70  0.0090 0.0090 0.0090 0.0000 0.0000 1.00
breakpoint       border  apca_centre   #f2d1d0  0.887  0.037    18  0.0374 0.0374 0.0374 0.0000 0.0000 1.00
builtin          ink     apca_centre   #ccbebd  0.812  0.016    19  0.0164 0.0164 0.0164 0.0000 0.0000 1.00
comment          ink     apca_centre   #a0968a  0.677  0.021    70  0.0208 0.0208 0.0208 0.0000 0.0000 1.00
constant         ink     apca_centre   #d9bd95  0.811  0.062    76  0.0623 0.0623 0.0623 0.0000 0.0000 1.00
debug_current    surface perceptual_step #2b2316  0.260  0.025    77  0.0245 0.0245 0.0245 0.0000 0.0000 1.00
decorator        ink     apca_centre   #cbc0af  0.811  0.026    76  0.0260 0.0260 0.0260 0.0000 0.0000 1.00
deprecated       ink     apca_centre   #979797  0.675  0.000    70  0.0000 0.0000 0.0000 0.0000 0.0000 1.00
diff_added       surface perceptual_step #1c1f1a  0.235  0.012   132  0.0117 0.0117 0.0117 0.0000 0.0000 1.00
diff_changed     surface perceptual_step #201e19  0.235  0.009    77  0.0089 0.0089 0.0089 0.0000 0.0000 1.00
diff_removed     surface perceptual_step #261b1b  0.235  0.017    19  0.0170 0.0170 0.0170 0.0000 0.0000 1.00
docstring        ink     apca_centre   #cbbfb3  0.811  0.022    70  0.0216 0.0216 0.0216 0.0000 0.0000 1.00
error            ink     night_ceiling #f2cdcd  0.880  0.041    18  0.0409 0.0409 0.0409 0.0000 0.0000 1.00
fg               ink     apca_centre   #c4c1bd  0.811  0.006    70  0.0056 0.0056 0.0056 0.0000 0.0000 1.00
fg_muted         ink     apca_centre   #6d6b68  0.527  0.004    70  0.0042 0.0042 0.0042 0.0000 0.0000 1.00
fg_secondary     ink     apca_centre   #999794  0.676  0.005    70  0.0054 0.0054 0.0054 0.0000 0.0000 1.00
focus            border  apca_centre   #cbdbea  0.883  0.027   247  0.0273 0.0273 0.0273 0.0000 0.0000 1.00
function         ink     night_ceiling #cbdae7  0.880  0.024   244  0.0244 0.0244 0.0244 0.0000 0.0000 1.00
info             ink     apca_centre   #aac4db  0.807  0.043   245  0.0428 0.0428 0.0428 0.0000 0.0000 1.00
keyword          ink     apca_centre   #cdbada  0.814  0.049   312  0.0490 0.0490 0.0490 0.0000 0.0000 1.00
line_number      ink     apca_centre   #6b6b6b  0.526  0.000    70  0.0000 0.0000 0.0000 0.0000 0.0000 1.00
line_number_active ink     apca_centre   #c1c1c1  0.809  0.000    70  0.0000 0.0000 0.0000 0.0000 0.0000 1.00
namespace        ink     apca_centre   #b1c5c2  0.806  0.022   188  0.0220 0.0220 0.0220 0.0000 0.0000 1.00
number           ink     apca_centre   #d9bd95  0.811  0.062    76  0.0623 0.0623 0.0623 0.0000 0.0000 1.00
operator         ink     apca_centre   #c1c1c1  0.809  0.000    70  0.0000 0.0000 0.0000 0.0000 0.0000 1.00
parameter        ink     apca_centre   #c4c1bd  0.811  0.006    70  0.0056 0.0056 0.0056 0.0000 0.0000 1.00
property         ink     apca_centre   #bfc2c3  0.811  0.004   242  0.0038 0.0038 0.0038 0.0000 0.0000 1.00
punctuation      ink     apca_centre   #979797  0.675  0.000    70  0.0000 0.0000 0.0000 0.0000 0.0000 1.00
search_match     surface perceptual_step #2b2317  0.260  0.024    77  0.0235 0.0235 0.0235 0.0000 0.0000 1.00
search_match_current surface perceptual_step #342815  0.285  0.036    77  0.0361 0.0361 0.0361 0.0000 0.0000 1.00
selection        surface perceptual_step #202529  0.260  0.011   245  0.0114 0.0114 0.0114 0.0000 0.0000 1.00
string           ink     apca_centre   #aeca93  0.803  0.079   130  0.0791 0.0791 0.0791 0.0000 0.0000 1.00
success          ink     apca_centre   #a8cc8b  0.802  0.095   132  0.0952 0.0952 0.0952 0.0000 0.0000 1.00
tag              ink     apca_centre   #b9c2cb  0.810  0.016   244  0.0162 0.0162 0.0162 0.0000 0.0000 1.00
type             ink     apca_centre   #99cbc5  0.804  0.052   188  0.0525 0.0525 0.0525 0.0000 0.0000 1.00
ui_inactive      border  apca_centre   #6b6b6b  0.526  0.000    70  0.0000 0.0000 0.0000 0.0000 0.0000 1.00
warning          ink     night_ceiling #f0d3a7  0.880  0.066    77  0.0656 0.0656 0.0656 0.0000 0.0000 1.00

ok = built without TransformError AND every ink/border final hex meets its WCAG floor.
NON-CANDIDATE: no palette here is final (DESIGN.md section 1).
