# candidate-a-restrained  (CANDIDATE)  ok=True  input_hash=d449bd0427b7a85a
  note: CANDIDATE.  No palette derived from this file is a finished/selected theme; Phase 5 produces candidates, Phase 7 (human evaluation) decides.  No winner is selected or ranked here (DESIGN.md section 1).
  stability: ok=True  max_hue_drift=5.6deg (cap 12)  cyclic_seq_preserved=True  normC_inversions=0  salience_reversals=0
  issues: 459 (aesthetic/distance/legibility misses; informational)

## variant day
role             paint   winning       hex           L      C     h  reqC   capC   realC  capL   gamL   frac
constant         ink     apca_centre   #cfc1a7  0.815  0.038    81  0.0382 0.0382 0.0382 0.0000 0.0000 1.00
debug_current    surface perceptual_step #2f2b23  0.290  0.015    82  0.0146 0.0146 0.0146 0.0000 0.0000 1.00
decorator        ink     apca_centre   #c4c2bf  0.814  0.004    81  0.0044 0.0044 0.0044 0.0000 0.0000 1.00
deprecated       ink     apca_centre   #999999  0.681  0.000    70  0.0000 0.0000 0.0000 0.0000 0.0000 1.00
diff_added       surface perceptual_step #242622  0.265  0.008   127  0.0076 0.0076 0.0076 0.0000 0.0000 1.00
diff_changed     surface perceptual_step #272522  0.265  0.006    82  0.0061 0.0061 0.0061 0.0000 0.0000 1.00
diff_removed     surface perceptual_step #2b2323  0.265  0.012    22  0.0119 0.0119 0.0119 0.0000 0.0000 1.00
docstring        ink     apca_centre   #c4c2bf  0.814  0.004    70  0.0038 0.0038 0.0038 0.0000 0.0000 1.00
error            ink     apca_centre   #edd4d2  0.889  0.028    22  0.0281 0.0281 0.0281 0.0000 0.0000 1.00
fg               ink     apca_centre   #c4c2bf  0.814  0.004    70  0.0038 0.0038 0.0038 0.0000 0.0000 1.00
fg_muted         ink     apca_centre   #6e6d6b  0.534  0.003    70  0.0029 0.0029 0.0029 0.0000 0.0000 1.00
fg_secondary     ink     apca_centre   #9a9996  0.682  0.004    70  0.0038 0.0038 0.0038 0.0000 0.0000 1.00
focus            border  apca_centre   #d1dbe3  0.885  0.015   243  0.0149 0.0149 0.0149 0.0000 0.0000 1.00
function         ink     apca_centre   #d2dbe2  0.886  0.014   242  0.0142 0.0142 0.0142 0.0000 0.0000 1.00
info             ink     apca_centre   #b5c5d1  0.814  0.024   242  0.0242 0.0242 0.0242 0.0000 0.0000 1.00
keyword          ink     apca_centre   #c7c0d1  0.818  0.026   306  0.0263 0.0263 0.0263 0.0000 0.0000 1.00
line_number      ink     apca_centre   #6d6d6d  0.533  0.000    70  0.0000 0.0000 0.0000 0.0000 0.0000 1.00
line_number_active ink     apca_centre   #c3c3c3  0.816  0.000    70  0.0000 0.0000 0.0000 0.0000 0.0000 1.00
namespace        ink     apca_centre   #b8c5c3  0.812  0.015   188  0.0149 0.0149 0.0149 0.0000 0.0000 1.00
number           ink     apca_centre   #cfc1a7  0.815  0.038    81  0.0382 0.0382 0.0382 0.0000 0.0000 1.00
