# calibration-experiment  (NON-CANDIDATE)  ok=True  input_hash=364f6f20e42cae29
  note: NON-CANDIDATE. Systematic-transform calibration only. Comparison target is themes/experiments/handtuned-*.yaml (also NON-CANDIDATE). No palette here is final; see DESIGN.md section 1 and section 9 ("Phase 4 will test whether this works").
  stability: ok=True  max_hue_drift=5.85deg (cap 12)  cyclic_seq_preserved=True  normC_inversions=0  salience_reversals=0
  issues: 430 (aesthetic/distance/legibility misses; informational)

## variant day
role             paint   winning       hex           L      C     h  reqC   capC   realC  capL   gamL   frac
constant         ink     apca_centre   #dabf92  0.816  0.067    79  0.0665 0.0665 0.0665 0.0000 0.0000 1.00
debug_current    surface perceptual_step #322a1d  0.290  0.025    80  0.0254 0.0254 0.0254 0.0000 0.0000 1.00
decorator        ink     apca_centre   #cec1ab  0.815  0.033    79  0.0325 0.0325 0.0325 0.0000 0.0000 1.00
deprecated       ink     apca_centre   #999999  0.681  0.000     0  0.0000 0.0000 0.0000 0.0000 0.0000 1.00
diff_added       surface perceptual_step #202820  0.265  0.018   144  0.0175 0.0175 0.0175 0.0000 0.0000 1.00
diff_changed     surface perceptual_step #28251f  0.265  0.011    80  0.0112 0.0112 0.0112 0.0000 0.0000 1.00
diff_removed     surface perceptual_step #2f2120  0.265  0.022    25  0.0219 0.0219 0.0219 0.0000 0.0000 1.00
docstring        ink     apca_centre   #d0bec2  0.817  0.021     0  0.0209 0.0209 0.0209 0.0000 0.0000 1.00
error            ink     apca_centre   #f7d1cc  0.891  0.044    25  0.0442 0.0442 0.0442 0.0000 0.0000 1.00
fg               ink     apca_centre   #c6c1c2  0.814  0.006     0  0.0058 0.0058 0.0058 0.0000 0.0000 1.00
fg_muted         ink     apca_centre   #736b6d  0.534  0.011     0  0.0110 0.0110 0.0110 0.0000 0.0000 1.00
fg_secondary     ink     apca_centre   #a09698  0.682  0.011     0  0.0115 0.0115 0.0115 0.0000 0.0000 1.00
focus            border  apca_centre   #c9dded  0.887  0.030   244  0.0304 0.0304 0.0304 0.0000 0.0000 1.00
function         ink     apca_centre   #ccdce8  0.885  0.025   243  0.0245 0.0245 0.0245 0.0000 0.0000 1.00
info             ink     apca_centre   #abc6db  0.812  0.042   243  0.0419 0.0419 0.0419 0.0000 0.0000 1.00
keyword          ink     apca_centre   #c6beda  0.817  0.039   298  0.0391 0.0391 0.0391 0.0000 0.0000 1.00
line_number      ink     apca_centre   #6d6d6d  0.533  0.000     0  0.0000 0.0000 0.0000 0.0000 0.0000 1.00
line_number_active ink     apca_centre   #c3c3c3  0.816  0.000     0  0.0000 0.0000 0.0000 0.0000 0.0000 1.00
namespace        ink     apca_centre   #afc7c6  0.812  0.027   193  0.0269 0.0269 0.0269 0.0000 0.0000 1.00
number           ink     apca_centre   #dabf92  0.816  0.067    79  0.0665 0.0665 0.0665 0.0000 0.0000 1.00
operator         ink     apca_centre   #c3c3c3  0.816  0.000     0  0.0000 0.0000 0.0000 0.0000 0.0000 1.00
parameter        ink     apca_centre   #c6c1c2  0.814  0.006     0  0.0058 0.0058 0.0058 0.0000 0.0000 1.00
property         ink     apca_centre   #c6c1c2  0.814  0.006     0  0.0058 0.0058 0.0058 0.0000 0.0000 1.00
punctuation      ink     apca_centre   #999999  0.681  0.000     0  0.0000 0.0000 0.0000 0.0000 0.0000 1.00
search_match     surface perceptual_step #322a1d  0.290  0.025    80  0.0250 0.0250 0.0250 0.0000 0.0000 1.00
search_match_current surface perceptual_step #3d2f17  0.315  0.043    80  0.0430 0.0430 0.0430 0.0000 0.0000 1.00
selection        surface perceptual_step #252c32  0.290  0.014   243  0.0141 0.0141 0.0141 0.0000 0.0000 1.00
string           ink     apca_centre   #9acf97  0.803  0.095   143  0.0946 0.0946 0.0946 0.0000 0.0000 1.00
success          ink     apca_centre   #93d292  0.804  0.108   144  0.1085 0.1085 0.1085 0.0000 0.0000 1.00
tag              ink     apca_centre   #b8c4ce  0.814  0.020   243  0.0198 0.0198 0.0198 0.0000 0.0000 1.00
type             ink     apca_centre   #97ccc9  0.806  0.055   193  0.0547 0.0547 0.0547 0.0000 0.0000 1.00
ui_inactive      border  apca_centre   #6d6d6d  0.533  0.000     0  0.0000 0.0000 0.0000 0.0000 0.0000 1.00
warning          ink     apca_centre   #f5d6a2  0.889  0.076    80  0.0758 0.0758 0.0758 0.0000 0.0000 1.00

## variant night
role             paint   winning       hex           L      C     h  reqC   capC   realC  capL   gamL   frac
