id	min_oklab	perf_ratio	cvd_worst	cvd_protan	cvd_deutan	cvd_tritan
base	0.0625	0.152	0.0095	0.0204	0.0095	0.0277
v322	0.0906	0.22	0.0193	0.0282	0.0193	0.0244
v266	0.0847	0.206	0.019	0.0286	0.0259	0.019
v011	0.0899	0.219	0.0183	0.0344	0.02	0.0183
